Model,F1_Score,Accuracy,Balanced_Accuracy,Precision,Recall,AUC,CV_F1_Mean,CV_F1_Std
Random_Forest_Balanced,0.0,0.9005,0.5,0.0,0.0,0.8214880621876736,0.0024844720496894407,0.004968944099378881
Random_Forest_Custom,0.28901734104046245,0.877,0.5986986570833066,0.3401360544217687,0.25125628140703515,0.820454298142573,0.20543546535873905,0.04827708999147542
Gradient_Boosting,0.08,0.8965,0.5178934651045344,0.34615384615384615,0.04522613065326633,0.815080399219864,0.05685861968554601,0.014770930971800999
Logistic_Balanced,0.35049019607843135,0.735,0.7277029232782457,0.23176661264181522,0.7185929648241206,0.8175636650771905,0.35038697943267544,0.00968019255936122
SVM_RBF_Balanced,0.37464788732394366,0.778,0.7292291552152768,0.2602739726027397,0.6683417085427136,0.8157863163680702,0.3433770598533344,0.020436277490929237
SVM_Linear_Balanced,0.35091743119266056,0.717,0.7400578684650347,0.22734026745913818,0.7688442211055276,0.818902954528333,0.346248523997983,0.00452814229820973
Decision_Tree_Balanced,0.27071823204419887,0.736,0.6276859031414708,0.18666666666666668,0.49246231155778897,0.6360257701611892,0.29916021817461586,0.015325488269298939
KNN_Weighted,0.06866952789699571,0.8915,0.5128822904081763,0.23529411764705882,0.04020100502512563,0.7001609937527727,0.05111276918786174,0.012722567081335762
Naive_Bayes,0.24019912881144992,0.3895,0.6476120190067495,0.13707386363636365,0.9698492462311558,0.7934983077519747,0.23838172675433925,0.004682501594740253
Neural_Network,0.009900990099009901,0.9,0.5019573157291175,0.3333333333333333,0.005025125628140704,0.8133811757287269,0.013953488372093023,0.027906976744186046
XGBoost_Balanced,0.3509933774834437,0.804,0.6833222190910131,0.2617283950617284,0.5326633165829145,0.8186643935948481,0.33155116675809415,0.02124319361840629
LightGBM_Balanced,0.3540090771558245,0.7865,0.6981897270918724,0.2532467532467532,0.5879396984924623,0.8164503807209282,0.34963630409365976,0.01632866124129757
